mq2,mq135,prediction

81,1873,normal
90,1888,normal
90,1877,normal
83,1879,normal
82,1885,normal
80,1872,normal
88,1879,normal
86,1875,normal
79,1868,normal
85,1874,normal
78,1861,normal
80,1869,normal
59,1757,normal
64,1755,normal
60,1759,normal
61,1755,normal
62,1754,normal
58,1758,normal
50,1744,normal
58,1739,normal
64,1754,normal
63,1750,normal
70,1763,normal
58,1750,normal
63,1754,normal
59,1749,normal
59,1746,normal
59,1741,normal
66,1728,normal
63,1727,normal
62,1733,normal

708,1497,gas
706,1498,gas
678,1494,gas
720,1495,gas
817,1498,gas
883,1504,gas
835,1493,gas
784,1488,gas
822,1498,gas
772,1424,gas
742,1503,gas
816,1510,gas
775,1504,gas
730,1520,gas
771,1507,gas
745,1511,gas
707,1499,gas
767,1500,gas
752,1507,gas
811,1501,gas
833,1493,gas
788,1516,gas
719,1520,gas
753,1535,gas
739,1529,gas
885,1523,gas
801,1524,gas
737,1533,gas
697,1526,gas
677,1521,gas
655,1524,gas
855,1523,gas
921,1521,gas
886,1515,gas
835,1522,gas
823,1506,gas

276,4095,smoke
296,4095,smoke
283,4095,smoke
260,4095,smoke
248,4095,smoke
222,4095,smoke
193,4095,smoke
255,4095,smoke
194,4095,smoke
209,4095,smoke
214,4095,smoke
195,4095,smoke
191,4095,smoke
187,4095,smoke
173,4095,smoke
179,4095,smoke
207,4095,smoke
209,4095,smoke
208,4095,smoke
211,4095,smoke
231,4095,smoke
224,4095,smoke
223,4095,smoke
205,4095,smoke
201,4095,smoke
175,4095,smoke
185,4095,smoke
179,4095,smoke
167,4095,smoke
139,3849,smoke
